Temperature,Wind Speed,Precip,Condition,DateTime
19,13.0,0.0,Fair,2022-01-09 10:53:00
17,12.0,0.0,Fair,2022-01-09 11:53:00
15,12.0,0.0,Fair,2022-01-09 12:53:00
14,14.0,0.0,Fair,2022-01-09 13:53:00
14,17.0,0.0,Fair,2022-01-09 14:53:00
13,13.0,0.0,Fair,2022-01-09 15:53:00
12,12.0,0.0,Fair,2022-01-09 16:53:00
12,10.0,0.0,Fair,2022-01-09 17:53:00
13,9.0,0.0,Cloudy,2022-01-09 18:53:00
14,10.0,0.0,Light Snow,2022-01-09 19:44:00
14,8.0,0.0,Light Snow,2022-01-09 19:53:00
16,12.0,0.0,Light Snow,2022-01-09 20:53:00
16,12.0,0.0,Light Snow,2022-01-09 21:53:00
16,7.0,0.0,Light Snow,2022-01-09 22:53:00
16,10.0,0.0,Light Snow,2022-01-09 23:53:00
17,8.0,0.0,Light Snow,2022-01-10 00:53:00
16,8.0,0.0,Mostly Cloudy,2022-01-10 01:19:00
17,7.0,0.0,Mostly Cloudy,2022-01-10 01:53:00
17,9.0,0.0,Fair,2022-01-10 02:53:00
18,15.0,0.0,Fair,2022-01-10 03:53:00
19,13.0,0.0,Fair,2022-01-10 04:53:00
19,12.0,0.0,Fair,2022-01-10 05:53:00
19,14.0,0.0,Fair,2022-01-10 06:53:00
19,15.0,0.0,Fair,2022-01-10 07:53:00
18,13.0,0.0,Fair,2022-01-10 08:53:00
15,8.0,0.0,Fair,2022-01-10 09:53:00
13,9.0,0.0,Fair,2022-01-10 10:53:00
12,10.0,0.0,Fair,2022-01-10 11:53:00
11,10.0,0.0,Fair,2022-01-10 12:53:00
11,8.0,0.0,Fair,2022-01-10 13:53:00
10,7.0,0.0,Fair,2022-01-10 14:53:00
9,5.0,0.0,Fair,2022-01-10 15:53:00
9,5.0,0.0,Fair,2022-01-10 16:53:00
8,5.0,0.0,Fair,2022-01-10 17:53:00
8,5.0,0.0,Fair,2022-01-10 18:53:00
7,0.0,0.0,Fair,2022-01-10 19:53:00
8,0.0,0.0,Fair,2022-01-10 20:53:00
9,3.0,0.0,Fair,2022-01-10 21:53:00
9,5.0,0.0,Fair,2022-01-10 22:53:00
9,6.0,0.0,Fair,2022-01-10 23:53:00
9,5.0,0.0,Fair,2022-01-11 00:53:00
10,8.0,0.0,Fair,2022-01-11 01:53:00
12,12.0,0.0,Fair,2022-01-11 02:53:00
16,12.0,0.0,Fair,2022-01-11 03:53:00
19,13.0,0.0,Partly Cloudy,2022-01-11 04:53:00
22,17.0,0.0,Partly Cloudy,2022-01-11 05:53:00
26,20.0,0.0,Partly Cloudy,2022-01-11 06:53:00
30,22.0,0.0,Fair / Windy,2022-01-11 07:53:00
33,22.0,0.0,Partly Cloudy / Windy,2022-01-11 08:53:00
35,21.0,0.0,Mostly Cloudy / Windy,2022-01-11 09:53:00
35,20.0,0.0,Mostly Cloudy,2022-01-11 10:53:00
35,18.0,0.0,Partly Cloudy,2022-01-11 11:53:00
35,18.0,0.0,Mostly Cloudy,2022-01-11 12:53:00
35,15.0,0.0,Mostly Cloudy,2022-01-11 13:53:00
35,13.0,0.0,Mostly Cloudy,2022-01-11 14:53:00
36,14.0,0.0,Fair,2022-01-11 15:53:00
37,14.0,0.0,Mostly Cloudy,2022-01-11 16:53:00
38,12.0,0.0,Mostly Cloudy,2022-01-11 17:53:00
38,15.0,0.0,Cloudy,2022-01-11 18:53:00
37,10.0,0.0,Mostly Cloudy,2022-01-11 19:53:00
36,9.0,0.0,Mostly Cloudy,2022-01-11 20:53:00
35,10.0,0.0,Mostly Cloudy,2022-01-11 21:53:00
35,9.0,0.0,Cloudy,2022-01-11 22:53:00
34,10.0,0.0,Mostly Cloudy,2022-01-11 23:53:00
34,8.0,0.0,Mostly Cloudy,2022-01-12 00:53:00
35,9.0,0.0,Cloudy,2022-01-12 01:53:00
37,7.0,0.0,Cloudy,2022-01-12 02:53:00
37,7.0,0.0,Cloudy,2022-01-12 03:53:00
38,8.0,0.0,Cloudy,2022-01-12 04:53:00
41,10.0,0.0,Cloudy,2022-01-12 05:53:00
41,9.0,0.0,Cloudy,2022-01-12 06:53:00
41,9.0,0.0,Cloudy,2022-01-12 07:53:00
41,9.0,0.0,Mostly Cloudy,2022-01-12 08:53:00
42,9.0,0.0,Mostly Cloudy,2022-01-12 09:53:00
41,7.0,0.0,Mostly Cloudy,2022-01-12 10:53:00
39,6.0,0.0,Mostly Cloudy,2022-01-12 11:53:00
38,5.0,0.0,Cloudy,2022-01-12 12:53:00
38,3.0,0.0,Cloudy,2022-01-12 13:53:00
38,3.0,0.0,Mostly Cloudy,2022-01-12 14:53:00
36,3.0,0.0,Mostly Cloudy,2022-01-12 15:53:00
33,0.0,0.0,Mostly Cloudy,2022-01-12 16:53:00
31,0.0,0.0,Mostly Cloudy,2022-01-12 17:53:00
31,3.0,0.0,Mostly Cloudy,2022-01-12 18:53:00
33,0.0,0.0,Mostly Cloudy,2022-01-12 19:53:00
30,5.0,0.0,Mostly Cloudy,2022-01-12 20:53:00
32,3.0,0.0,Mostly Cloudy,2022-01-12 21:53:00
32,5.0,0.0,Mostly Cloudy,2022-01-12 22:17:00
35,6.0,0.0,Cloudy,2022-01-12 22:53:00
38,10.0,0.0,Cloudy,2022-01-12 23:53:00
38,8.0,0.0,Cloudy,2022-01-13 00:53:00
39,7.0,0.0,Cloudy,2022-01-13 01:53:00
39,6.0,0.0,Cloudy,2022-01-13 02:53:00
39,6.0,0.0,Cloudy,2022-01-13 03:01:00
40,6.0,0.0,Mostly Cloudy,2022-01-13 03:23:00
41,7.0,0.0,Mostly Cloudy,2022-01-13 03:53:00
40,8.0,0.0,Mostly Cloudy,2022-01-13 04:10:00
41,10.0,0.0,Mostly Cloudy,2022-01-13 04:53:00
41,10.0,0.0,Cloudy,2022-01-13 05:53:00
40,9.0,0.0,Cloudy,2022-01-13 06:53:00
40,7.0,0.0,Cloudy,2022-01-13 07:53:00
41,6.0,0.0,Cloudy,2022-01-13 08:35:00
41,8.0,0.0,Mostly Cloudy,2022-01-13 08:53:00
40,7.0,0.0,Mostly Cloudy,2022-01-13 09:53:00
37,5.0,0.0,Mostly Cloudy,2022-01-13 10:53:00
38,3.0,0.0,Cloudy,2022-01-13 11:53:00
38,3.0,0.0,Cloudy,2022-01-13 12:53:00
38,0.0,0.0,Cloudy,2022-01-13 13:53:00
38,0.0,0.0,Cloudy,2022-01-13 14:44:00
37,0.0,0.0,Cloudy,2022-01-13 14:53:00
38,0.0,0.0,Cloudy,2022-01-13 15:13:00
38,0.0,0.0,Cloudy,2022-01-13 15:53:00
39,10.0,0.0,Cloudy,2022-01-13 16:53:00
38,10.0,0.0,Cloudy,2022-01-13 17:45:00
38,8.0,0.0,Cloudy,2022-01-13 17:53:00
37,9.0,0.0,Cloudy,2022-01-13 18:47:00
38,12.0,0.0,Cloudy,2022-01-13 18:53:00
38,8.0,0.0,Cloudy,2022-01-13 19:53:00
38,13.0,0.0,Light Drizzle,2022-01-13 20:17:00
36,17.0,0.0,Wintry Mix,2022-01-13 20:28:00
36,15.0,0.0,Wintry Mix,2022-01-13 20:53:00
